Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Distance	Quality
0	0	Babin-Chevaye	Babin-Chevaye	[8, 582, 719]	[]	0.5000	0.5000
1	1	Bachelet (Alexandre)	Bachelet (Alexandre)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
2	2	Barthou (Louis)	Barthou (Louis)	[2]	[]	0.5000	0.5000
4	3	Bazile (Gaston)	Bazile (Gaston)	[1560]	[]	0.5000	0.5000
5	4	Beaumont (Jean)	Beaumont (Jean)	[477, 1087, 1130, 1287, 1667, 1674, 1708]	[]	0.5000	0.5000
6	5	Bénard (Léonus)	Bénard (Léonus)	[146, 148, 832]	[]	0.5000	0.5000
7	6	Bender	Bender	[966]	[]	0.5000	0.5000
8	7	Bérard (Léon)	Bérard (Léon)	[35, 132, 172, 213, 270, 272, 326, 342, 344, 349, 358, 365, 372, 374, 415, 421, 422, 451, 452, 453, 454, 455, 461, 462, 958, 982, 1053, 1054, 1064, 1066, 1067, 1091, 1285, 1389, 1549, 1552, 1586, 1590, 1593, 1747, 1762, 1765, 1766, 1772, 1773, 1775, 1816]	[]	0.5000	0.5000
9	8	Bérard (Victor)	Bérard (Victor)	[229, 233, 286, 579, 581, 628, 643, 685, 704, 959, 1032, 1220, 1267, 1415]	[]	0.5000	0.5000
10	9	Bérenger (Henry)	Bérenger (Henry)	[148, 681, 754, 865, 1010, 1012, 1243, 1249, 1363, 1372, 1491]	[]	0.5000	0.5000
11	10	Bergeon (Benoît-Charles)	Bergeon (Benoît-Charles)	[517, 520, 521, 522, 523, 1517, 1695, 1696]	[]	0.5000	0.5000
12	11	Betoulle (Léon)	Betoulle (Léon)	[317, 508, 603, 616, 896, 1099, 1764]	[]	0.5000	0.5000
13	12	Blaignan (Raymond)	Blaignan (Raymond)	[112, 448, 449, 539, 1225]	[]	0.5000	0.5000
14	13	Blaisot	Blaisot	[651, 654, 656, 658, 662, 1658, 1660, 1661, 1662, 1663, 1665]	[]	0.5000	0.5000
15	14	Blois (comte Louis de)	Blois (comte Louis de)	[72, 402, 569, 593, 594, 622, 709, 901, 958, 1062, 1151, 1217, 1221, 1268, 1273, 1355, 1361, 1695]	[]	0.5000	0.5000
16	15	Boivin-Champeaux	Boivin-Champeaux	[1, 344, 376, 379, 406, 784, 1590]	[]	0.5000	0.5000
17	16	Bompard (Maurice)	Bompard (Maurice)	[754]	[]	0.5000	0.5000
18	17	Bon	Bon	[1417]	[]	0.5000	0.5000
19	18	Borgeot (Charles)	Borgeot (Charles)	[460, 738, 809, 863, 1292, 1330, 1333, 1362, 1631, 1678, 1732]	[]	0.5000	0.5000
20	19	Borrel (Antoine)	Borrel (Antoine)	[1418]	[]	0.5000	0.5000
21	20	Bosc (Jean)	Bosc (Jean)	<renvoi d'index>	<renvoi d'index>	0.0000	1.0000
22	21	Bourdeaux (Henry)	Bourdeaux (Henry)	[799, 1066]	[]	0.5000	0.5000
