Truth_Index	Predicted_Index	Truth_Nom	Predicted_Nom	Truth_Pages	Predicted_Pages	Ratcliff_Obershelp_Distance	IoU_Distance	Combined_Distance	Ratcliff_Obershelp_Quality	IoU_Quality	Combined_Quality
0	2	Dentu	Dentu	[1024, 1031, 1560, 1563, 1564]	[1024, 1031, 1560, 1563, 1564]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
1	3	Desjardins (Charles)	Desjardins (Charles)	[563]	[563]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
2	4	Donon (Marcel)	Donon (Marcel)	[8, 113, 247, 537, 574, 649, 776, 866, 1325, 1326, 1332, 1335, 1351, 1355, 1356, 1360, 1366, 1368, 1389, 1584]	[8, 113, 247, 537, 649, 776, 574, 1389, 866, 1325, 1326, 1332, 1335, 1351, 1355, 1356, 1360, 1366, 1368, 1584]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
3	5	Doumer (Paul)	Doumer (Paul)	[8, 15, 129, 143, 203, 386, 933, 935, 938, 1021]	[8, 15, 129, 143, 203, 386, 935, 933, 938, 938, 1021]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
4	6	Drivet	Drivet	[635, 676, 768]	[635, 676, 768]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
5	7	Duchein	Duchein	[491]	[491, 491]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
6	8	Dumesnil	Dumesnil, ministre de l'air	[394, 396, 401, 402, 541, 546, 548, 549, 550, 551, 552, 845, 1003, 1700, 1701, 1702, 1703]	[394, 396, 401, 402, 541, 546, 548, 519, 550, 551, 552]	0.5429	0.4444	0.4937	0.4571	0.5556	0.5063
7	9	Dumont (Charles)	Dumont (Charles), ministre de la marine militaire	[133, 296, 297, 516, 519, 520, 521, 531, 533, 695, 696, 1136, 1258, 1274, 1278, 1279, 1280, 1282]	[133, 296, 297, 516, 519, 520, 521, 531, 533, 695, 696, 1136, 1258, 1274, 1278, 1279, 1280, 1282]	0.5077	0.0000	0.2538	0.4923	1.0000	0.7462
8	10	Duplantier	Duplantier	[407, 1584]	[407, 1584]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
9	11	Durand (Jean)	Durand (Jean)	<renvoi d'index>	<renvoi d'index>	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
10	12	Duroux (Jacques)	Duroux (Jaoques)	[1347]	[1347]	0.0625	0.0000	0.0312	0.9375	1.0000	0.9688
11	13	Eccard (Frédéric)	Eccard (Frédéric)	[262, 406, 627, 1094, 1389]	[262, 1094, 1389, 406, 627]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
12	14	Gavillon (Edmond)	Edmond Cavillon	[17, 125, 182, 197, 563, 806, 884, 1094, 1102, 1124, 1389, 1559, 1582, 1812]	[17, 125, 182, 197, 563, 806, 884, 1094, 1389, 1102, 1124, 1559, 1582, 1812, 1812]	0.5625	0.0000	0.2812	0.4375	1.0000	0.7188
13	1	Sari (Emile)	Emile Sari	[8, 622, 623, 648, 652, 766, 785, 850, 850, 1606, 1715, 1717]	[8, 622, 623, 648, 652, 766, 850, 766, 785, 850, 1606, 1715, 1717, 304, 306, 304, 625, 671, 835, 1063, 1647]	0.5455	0.3889	0.4672	0.4545	0.6111	0.5328
14	15	Chanal (Eugène)	Eugène Chanal	[109, 1297, 1368]	[109, 1297, 1368]	0.5714	0.0000	0.2857	0.4286	1.0000	0.7143
15	16	Penancier (Eugène)	Eugène Penancier	[270, 328, 342, 345, 346, 348, 360, 364, 365, 371, 373, 378, 379, 416, 417, 418, 419, 584, 1211, 1549, 1555, 1633, 1775]	[270, 328, 342, 345, 346, 348, 360, 364, 365, 371, 373, 378, 379, 416, 417, 418, 419, 584, 1211, 1549, 1555, 1633, 1175]	0.4706	0.0833	0.2770	0.5294	0.9167	0.7230
16	17	Even	Even	[196, 211, 785, 797]	[196, 211, 785, 797, 797]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
17	18	Farjon (Roger)	Farjon (Roger)	[95, 133, 387, 519, 660, 862, 901, 1095, 1260, 1648]	[95, 133, 387, 519, 660, 660, 862, 901, 1095, 1260, 1648]	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000
18	0	Faure (Joseph)	Faure (Joseph)	[83, 125, 485, 494, 727, 731, 798, 808, 809, 862, 864, 969, 1136, 1289]	[5, 1003, 1700, 1701, 1702, 1703, 622, 623, 648, 652, 766, 850, 766, 785, 850, 304, 306, 304, 625, 671, 835, 1063, 1647]	0.0000	1.0000	0.5000	1.0000	0.0000	0.5000
